# gunzip -c exp-kaldi-lang/tri4b/decode.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp-kaldi-lang/tri4b/graph 
# Started at Thu Jul 27 15:42:52 BST 2017
#
Overall, er_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,19) frames.
Overall, ng_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,16) frames.
Overall, l_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, r_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,16) frames.
Overall, aa_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.2,21) frames.
Overall, f_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,13) frames.
Overall, y_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
Overall, z_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,12) frames.
The optional-silence phone SIL occupies 22.8% of frames overall 
Limiting the stats to the 80.8% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 4.6% of frames.
Assuming 100 frames per second, the alignments represent 2.3 hours of data, or 1.8 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 2.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (13,16.2,45)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Jul 27 15:42:52 BST 2017, elapsed time 0 seconds
